observation_date,INTDSRUSM193N
1960-01-01,3.53
1961-01-01,3.00
1962-01-01,3.00
1963-01-01,3.23
1964-01-01,3.55
1965-01-01,4.04
1966-01-01,4.50
1967-01-01,4.19
1968-01-01,5.16
1969-01-01,5.87
1970-01-01,5.95
1971-01-01,4.88
1972-01-01,4.50
1973-01-01,6.44
1974-01-01,7.83
1975-01-01,6.25
1976-01-01,5.50
1977-01-01,5.46
1978-01-01,7.46
1979-01-01,10.28
1980-01-01,11.77
1981-01-01,13.42
1982-01-01,11.02
1983-01-01,8.50
1984-01-01,8.80
1985-01-01,7.69
1986-01-01,6.33
1987-01-01,5.66
1988-01-01,6.20
1989-01-01,6.92
1990-01-01,6.98
1991-01-01,5.45
1992-01-01,3.25
1993-01-01,3.00
1994-01-01,3.60
1995-01-01,5.21
1996-01-01,5.02
1997-01-01,5.00
1998-01-01,4.92
1999-01-01,4.62
2000-01-01,5.73
2001-01-01,3.41
2002-01-01,1.17
2003-01-01,2.10
2004-01-01,2.40
2005-01-01,4.25
2006-01-01,6.02
2007-01-01,5.79
2008-01-01,2.17
2009-01-01,0.50
2010-01-01,0.73
2011-01-01,0.75
2012-01-01,0.75
2013-01-01,0.75
2014-01-01,0.75
2015-01-01,0.77
2016-01-01,1.02
2017-01-01,1.63
2018-01-01,2.46
2019-01-01,2.75
2020-01-01,0.58
